iter	Passed	Remaining
680	866	405
681	867	404
682	868	403
683	869	401
684	870	400
685	871	398
686	872	397
687	873	396
688	874	394
689	875	393
690	876	392
691	877	390
692	878	389
693	879	387
694	880	386
695	881	385
696	882	383
697	883	382
698	884	381
699	885	379
700	886	378
701	888	377
702	889	375
703	890	374
704	891	372
705	892	371
706	893	370
707	894	368
708	895	367
709	896	366
710	897	364
711	898	363
712	899	361
713	900	360
714	901	359
715	902	357
716	903	356
717	904	355
718	905	353
719	906	352
720	907	351
721	908	349
722	909	348
723	910	346
724	911	345
725	912	344
726	913	342
727	914	341
728	915	340
729	916	338
730	917	337
731	918	336
732	919	334
733	920	333
734	921	332
735	922	330
736	923	329
737	924	328
738	925	326
739	926	325
740	927	324
741	928	322
742	929	321
743	930	320
744	931	318
745	932	317
746	933	316
747	934	314
748	935	313
749	936	312
750	937	310
751	938	309
752	939	308
753	941	307
754	942	305
755	943	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	297
761	949	296
762	950	295
763	951	293
764	952	292
765	953	291
766	954	290
767	955	288
768	956	287
769	957	286
770	958	284
771	959	283
772	960	282
773	961	280
774	962	279
775	963	278
776	964	276
777	966	275
778	967	274
779	968	273
780	969	271
781	970	270
782	971	269
783	972	267
784	973	266
785	974	265
786	975	263
787	976	262
788	977	261
789	978	260
790	979	258
791	980	257
792	981	256
793	982	254
794	983	253
795	984	252
796	985	251
797	986	249
798	987	248
799	988	247
800	989	245
801	990	244
802	992	243
803	993	242
804	994	240
805	995	239
806	996	238
807	997	237
808	998	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1003	229
814	1004	228
815	1005	226
816	1006	225
817	1007	224
818	1008	222
819	1009	221
820	1010	220
821	1011	218
822	1012	217
823	1013	216
824	1014	215
825	1015	213
826	1016	212
827	1017	211
828	1018	210
829	1019	208
830	1020	207
831	1021	206
832	1022	204
833	1023	203
834	1024	202
835	1025	201
836	1026	199
837	1027	198
838	1028	197
839	1029	196
840	1030	194
841	1031	193
842	1032	192
843	1033	191
844	1034	189
845	1035	188
846	1036	187
847	1037	185
848	1038	184
849	1039	183
850	1040	182
851	1041	180
852	1042	179
853	1043	178
854	1044	177
855	1046	175
856	1047	174
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1056	164
865	1057	163
866	1058	162
867	1059	161
868	1060	159
869	1061	158
870	1062	157
871	1063	156
872	1064	154
873	1065	153
874	1067	152
875	1068	151
876	1069	149
877	1070	148
878	1071	147
879	1072	146
880	1073	145
881	1074	143
882	1076	142
883	1077	141
884	1077	140
885	1079	138
886	1080	137
887	1081	136
888	1082	135
889	1083	133
890	1084	132
891	1085	131
892	1086	130
893	1087	128
894	1088	127
895	1089	126
896	1090	125
897	1091	123
898	1092	122
899	1093	121
900	1094	120
901	1095	119
902	1096	117
903	1097	116
904	1098	115
905	1099	114
906	1101	112
907	1101	111
908	1102	110
909	1104	109
910	1105	107
911	1106	106
912	1107	105
913	1108	104
914	1109	103
915	1110	101
916	1111	100
917	1112	99
918	1113	98
919	1114	96
920	1115	95
921	1116	94
922	1117	93
923	1118	91
924	1119	90
925	1120	89
926	1121	88
927	1122	87
928	1123	85
929	1124	84
930	1125	83
931	1126	82
932	1127	80
933	1128	79
934	1129	78
935	1130	77
936	1131	76
937	1132	74
938	1133	73
939	1134	72
940	1135	71
941	1136	69
942	1137	68
943	1138	67
944	1139	66
945	1140	65
946	1141	63
947	1142	62
948	1143	61
949	1144	60
950	1145	59
951	1146	57
952	1147	56
953	1149	55
954	1150	54
955	1151	52
956	1152	51
957	1153	50
958	1154	49
959	1155	48
960	1156	46
961	1157	45
962	1158	44
963	1159	43
964	1160	42
965	1161	40
966	1162	39
967	1163	38
968	1164	37
969	1165	36
970	1166	34
971	1167	33
972	1168	32
973	1169	31
974	1170	30
975	1171	28
976	1172	27
977	1173	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1179	19
984	1180	17
985	1181	16
986	1182	15
987	1183	14
988	1184	13
989	1185	11
990	1186	10
991	1187	9
992	1188	8
993	1190	7
994	1190	5
995	1191	4
996	1192	3
997	1194	2
998	1195	1
999	1196	0
